VisitYear,VisitMonth,VisitMode,Rating,AttractionType,Country,Region,Continent
2022,10,1,5,8,144,21,4
2022,10,3,5,8,27,12,1
2022,10,2,5,8,21,15,1
2022,10,2,3,8,132,6,4
2022,10,1,3,8,144,21,4
2022,10,3,5,8,145,12,1
2022,9,1,4,8,134,7,0
2022,10,3,5,8,144,21,4
2022,9,1,3,8,125,18,0
2022,9,1,5,8,145,12,1
2022,9,1,5,8,144,21,4
2022,9,1,5,8,7,1,3
2022,9,3,3,8,100,14,3
2022,8,1,4,8,144,21,4
2022,9,1,4,8,7,1,3
2022,9,1,5,8,7,1,3
2022,9,3,3,8,144,21,4
2022,8,1,4,8,144,21,4
2022,7,2,4,8,7,1,3
2022,7,4,5,8,143,10,2
2022,8,2,1,8,144,21,4
2022,8,1,5,8,139,10,2
2022,8,1,5,8,125,18,0
2022,6,1,5,8,51,9,4
2022,7,1,4,8,7,1,3
2022,7,1,5,8,144,21,4
2022,7,1,5,8,7,1,3
2022,7,1,5,8,62,17,2
2022,7,1,4,8,7,1,3
2022,7,1,5,8,61,16,2
2022,7,2,5,8,7,1,3
2022,7,3,3,8,132,6,4
2022,7,3,5,8,145,12,1
2022,7,2,4,8,7,1,3
2022,6,1,1,8,7,1,3
2022,6,2,5,8,7,1,3
2022,6,2,4,8,61,16,2
2022,6,4,3,8,43,11,0
2022,6,3,5,8,143,10,2
2022,6,1,5,8,83,19,4
2022,5,3,4,8,61,16,2
2022,5,1,4,8,144,21,4
2022,5,1,5,8,62,17,2
2022,4,2,2,8,27,12,1
2022,4,2,4,8,144,21,4
2021,10,1,5,8,62,17,2
2021,11,3,5,8,62,17,2
2021,7,3,5,8,144,21,4
2020,10,4,5,8,7,1,3
2021,5,4,5,8,62,17,2
2021,1,1,4,8,144,21,4
2021,1,1,5,8,100,14,3
2020,12,3,5,8,62,17,2
2020,1,2,5,8,145,12,1
2020,12,1,5,8,62,17,2
2019,11,1,4,8,125,18,0
2019,10,1,5,8,145,12,1
2019,12,1,5,8,144,21,4
2020,3,1,4,8,144,21,4
2020,4,3,5,8,27,12,1
2019,7,2,4,8,62,17,2
2020,3,1,5,8,27,12,1
2019,11,1,5,8,145,12,1
2020,3,1,5,8,144,21,4
